slot_name,type
activLim_doorbell,SELECT
activLim_heavyLoad,SELECT
activLim_pickFromFloor,SELECT
activLim_walking,SELECT
activLim_usingToilet,SELECT
activLim_outOfBed,SELECT
activLim_brushTeeth,SELECT
activLim_takingShower,SELECT
activLim_puttinSocks,SELECT
activLim_outOfCar,SELECT
activLim_turnInBed,SELECT
activLim_tyingLaces,SELECT
activLim_takeOffTshirt,SELECT
activLim_openDoor,SELECT
activLim_sweepVaccum,SELECT
activLim_dishesInCupboard,SELECT
activLim_getUpFromChair,SELECT
activLim_standingNoSupport,SELECT
activLim_walkingUpstairs,SELECT
activLim_putKey,SELECT
coast_Q0,SELECT
coast_Q1,SELECT
coast_Q2,SELECT
coast_Q3,SELECT
coast_Q4,SELECT
coast_Q5,SELECT
coast_Q6,SELECT
coast_Q7,SELECT
coast_Q8,SELECT
coast_Q9,SELECT
coast_Q10,SELECT
coast_Q11,SELECT
coast_Q12,SELECT
coast_Q13,SELECT
coast_Q14,SELECT
coast_Q15,SELECT
coast_Q16,SELECT
coast_Q17,SELECT
coast_Q18,SELECT
coast_Q19,SELECT
coast_Q20,SELECT
dizzNbalance_Q1,TIME
dizzNbalance_Q2,SELECT
dizzNbalance_Q2i,TEXT
dizzNbalance_Symptoms,MULTISELECT
dizzNbalance_Q3,SELECT
dizzNbalance_Q3i,TEXT
dizzNbalance_Q4,SELECT
dizzNbalance_Q4a,TEXT
dizzNbalance_Q4b,SELECT
dizzNbalance_Q4c,SELECT
dizzNbalance_Q4ci,TEXT
dizzNbalance_Q4d,SELECT
dizzNbalance_Q5,SELECT
dizzNbalance_Q5i,MULTISELECT
dizzNbalance_Q6,SELECT
dizzNbalance_Q6i,MULTISELECT
dizzNbalance_Q7,SELECT
dizzNbalance_Q7i,TEXT
dizzNbalance_Q8,SELECT
dizzNbalance_Q9,SELECT
dizzNbalance_Q9i,TEXT
dizzNbalance_Q10,SELECT
dizzNbalance_Q11,SELECT
dizzNbalance_Q11i,NUMERIC
dizzNbalance_Q12,SELECT
dizzNbalance_Q12i,TEXT
dizzNbalance_PastMedicalHistory,MULTISELECT
dizzNbalance_PastMedicalHistoryOther,TEXT
dizzNbalance_MedicalTests,SELECT
dizzNbalance_MedicalTestsOther,TEXT
dizzNbalance_OnSetType,SELECT
dizzNbalance_EarSymptomI,SELECT
dizzNbalance_EarSymptomIa,SELECT
dizzNbalance_EarSymptomIb,TIME
dizzNbalance_EarSymptomII,SELECT
dizzNbalance_EarSymptomIIa,SELECT
dizzNbalance_EarSymptomIII,SELECT
dizzNbalance_EarSymptomIIIa,SELECT
dizzNbalance_EarSymptomIIIa1,SELECT
dizzNbalance_EarSymptomIIIa2,SELECT
dizzNbalance_EarSymptomIIIa3,SELECT
dizzNbalance_EarSymptomIIIa3i,TEXT
dizzNbalance_EarSymptomIV,SELECT
dizzNbalance_EarSymptomV,SELECT
dizzNbalance_EarSymptomVI,SELECT
dizzNbalance_EarSymptomVII,SELECT
dizzNbalance_EarSymptomVIII,SELECT
dizzNbalance_EarSymptomIX,SELECT
dizzNbalance_EarSymptomX,SELECT
dizzNbalance_EarSymptomXI,SELECT
dizzNbalance_Social_a,SELECT
dizzNbalance_Social_ai,TEXT
dizzNbalance_Social_b,SELECT
dizzNbalance_Social_bi,TEXT
dizzNbalance_Social_c,MULTISELECT
dizzNbalance_Habits_caffeine,SELECT
dizzNbalance_Habits_tobacco,SELECT
dizzNbalance_Habits_alcohol,SELECT
dizzNbalance_Habits_tobacco_follow,TEXT
dizzNbalance_Habits_caffeine_follow,TEXT
dizzNbalance_Habits_alcohol_follow,TEXT
dizzNbalance_Medications,TEXT
eatinghabits_Q1,SELECT
eatinghabits_Q2,SELECT
eatinghabits_Q3,SELECT
eatinghabits_Q4,SELECT
eatinghabits_Q5,SELECT
eatinghabits_Q6,SELECT
eatinghabits_Q7,SELECT
eatinghabits_Q8,SELECT
eatinghabits_Q9,SELECT
eatinghabits_Q10,SELECT
eatinghabits_Q11,SELECT
eatinghabits_Q12,SELECT
eatinghabits_Q13,SELECT
eatinghabits_Q14,SELECT
eatinghabits_Q15,SELECT
eatinghabits_Q16,SELECT
eatinghabits_Q17,SELECT
eatinghabits_Q18,SELECT
eatinghabits_Q19,SELECT
eatinghabits_Q20,SELECT
muscletone_Q1,SELECT
muscletone_Q2,SELECT
muscletone_Q3,SELECT
muscletone_Q4,SELECT
muscletone_Q5,SELECT
muscletone_Q6,SELECT
muscletone_Q7,SELECT
muscletone_Q8,SELECT
muscletone_Q9,SELECT
muscletone_Q10,SELECT
muscletone_Q10i,TEXT
psqi_Q1,TIME
psqi_Q2,NUMERIC
psqi_Q3,TIME
psqi_Q4,NUMERIC
psqi_Q5a,SELECT
psqi_Q5b,SELECT
psqi_Q5c,SELECT
psqi_Q5d,SELECT
psqi_Q5e,SELECT
psqi_Q5f,SELECT
psqi_Q5g,SELECT
psqi_Q5h,SELECT
psqi_Q5i,SELECT
psqi_Q5j,TEXT
psqi_Q5k,SELECT
psqi_Q6,SELECT
psqi_Q7,SELECT
psqi_Q8,SELECT
psqi_Q9,SELECT
psqi_Q10,SELECT
psqi_Q10a,SELECT
psqi_Q10b,SELECT
psqi_Q10c,SELECT
psqi_Q10d,SELECT
STROKEdomainIII_RQ1,SELECT
STROKEdomainIII_RQ2,SELECT
STROKEdomainV_RQ1,SELECT
STROKEdomainV_RQ2,SELECT
STROKEdomainIV_RQ1,MULTISELECT
STROKEdomainIV_RQ2,SELECT
STROKEdomainIV_RQ3,SELECT
MSdomainIII_1W_RQ1,SELECT
MSdomainIII_1W_RQ2,NUMERIC
MSdomainIII_1W_RQ2a,TEXT
MSdomainIII_1W_RQ3,SELECT
MSdomainIII_1W_RQ4,SELECT
MSdomainIII_1W_RQ5,NUMERIC
MSdomainIII_1W_RQ5a,TEXT
MSdomainIII_2W_RQ6,NUMERIC
MSdomainIII_2W_RQ7,SELECT
MSdomainI_RQ1,SELECT
MSdomainI_RQ1a,TEXT
MSdomainI_RQ1b,SELECT
MSdomainI_RQ1c,SELECT
MSdomainI_RQ2,SELECT
MSdomainI_RQ2a,TEXT
MSdomainI_RQ2b,SELECT
MSdomainI_RQ2c,SELECT
MSdomainI_RQ3,SELECT
MSdomainI_RQ4,NUMERIC
MSdomainI_RQ5,NUMERIC
MSdomainI_RQ6,SELECT
MSdomainII_1M_RQ1,SELECT
MSdomainII_1M_RQ2,SELECT
MSdomainII_3M_RQ3,SELECT
MSdomainV_RQ1,SELECT
MSdomainV_RQ2,SELECT
MSdomainIV_1W_RQ2,SELECT
MSdomainIV_1W_RQ2a,SELECT
MSdomainIV_1W_RQ3,SELECT
MSdomainIV_Daily_RQ1,MULTISELECT
